Commodity,Mandi,State,District,Date,Price,Min_Price,Max_Price
Jowar(Sorghum),Gadag APMC,Karnataka,Gadag,2026-06-27,4383,1544,5413
Tomato,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,2200,1500,2600
Soyabean,Hubballi APMC,Karnataka,Dharwad,2026-06-27,6786,1509,7049
Green Gram(Moong)(Whole),Gadag APMC,Karnataka,Gadag,2026-06-27,4576,2765,7011
Wheat,Basava Kalayana APMC,Karnataka,Bidar,2026-06-27,2380,2310,2450
Green Chilli,Chikkamagaluru APMC,Karnataka,Chikkamagaluru,2026-06-27,1600,1500,1700
Bottle gourd,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,2000,1500,2200
Arecanut(Betelnut/Supari),Shimoga(Theertahalli) APMC,Karnataka,Shivamogga,2026-06-27,57099,52069,59099
Potato,Belgaum APMC,Karnataka,Belagavi,2026-06-27,1500,1000,1800
Ridgeguard(Tori),Bangarpet APMC,Karnataka,Kolar,2026-06-27,1500,1000,2000
Brinjal,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,3500,3000,4000
Ladies Finger,Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,3000,2500,3500
Onion,Belgaum APMC,Karnataka,Belagavi,2026-06-27,2500,1000,3000
Brinjal,Bangarpet APMC,Karnataka,Kolar,2026-06-27,2200,2000,2500
Wheat,Gadag APMC,Karnataka,Gadag,2026-06-27,2519,2305,3717
Beetroot,Bangarpet APMC,Karnataka,Kolar,2026-06-27,1500,1000,2000
Arecanut(Betelnut/Supari),Shimoga(Theertahalli) APMC,Karnataka,Shivamogga,2026-06-27,74009,59009,82359
Maize,Mundaragi APMC,Karnataka,Gadag,2026-06-27,2425,2293,2434
Jowar(Sorghum),Belgaum APMC,Karnataka,Belagavi,2026-06-27,4500,3000,5500
Sunflower/Sunflower Seed,Gadag APMC,Karnataka,Gadag,2026-06-27,6983,6967,7007
Black Gram(Urd Beans)(Whole),Basava Kalayana APMC,Karnataka,Bidar,2026-06-27,4800,4800,5000
Black Gram(Urd Beans)(Whole),Gadag APMC,Karnataka,Gadag,2026-06-27,5644,5644,5644
Wheat,Hubballi APMC,Karnataka,Dharwad,2026-06-27,2554,2219,3526
Groundnut,Mundaragi APMC,Karnataka,Gadag,2026-06-27,7390,7390,7390
Green Gram(Moong)(Whole),Hubballi APMC,Karnataka,Dharwad,2026-06-27,4953,1355,5660
Cowpea(Lobia/Karamani),Gadag APMC,Karnataka,Gadag,2026-06-27,2840,2669,3011
Red gram/Arhar/Tur(whole),Talikot APMC,Karnataka,Vijayapura,2026-06-27,7451,7239,7751
Red gram/Arhar/Tur(whole),Basava Kalayana APMC,Karnataka,Bidar,2026-06-27,7350,7000,7680
Red gram/Arhar/Tur(whole),Hubballi APMC,Karnataka,Dharwad,2026-06-27,4259,4259,4259
Cucumbar(Kheera),Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,600,500,800
Cucumbar(Kheera),Bangarpet APMC,Karnataka,Kolar,2026-06-27,1000,500,1500
Cabbage,Bangarpet APMC,Karnataka,Kolar,2026-06-27,1000,700,1500
Jowar(Sorghum),Basava Kalayana APMC,Karnataka,Bidar,2026-06-27,2200,2071,3150
Red gram/Arhar/Tur(whole),Hubballi APMC,Karnataka,Dharwad,2026-06-27,4259,4259,4259
Cowpea(Lobia/Karamani),Gadag APMC,Karnataka,Gadag,2026-06-27,2840,2669,3011
Garlic,Bangarpet APMC,Karnataka,Kolar,2026-06-27,9000,7000,9500
Sweet Potato,Belgaum APMC,Karnataka,Belagavi,2026-06-27,1200,800,1600
Carrot,Bangarpet APMC,Karnataka,Kolar,2026-06-27,3400,3200,4000
Coconut,Koppa APMC,Karnataka,Chikkamagaluru,2026-06-27,3800,3800,3800
Arecanut(Betelnut/Supari),Shimoga(Theertahalli) APMC,Karnataka,Shivamogga,2026-06-27,51499,40069,53129
Ridgeguard(Tori),Gauribidanur APMC,Karnataka,Chikkaballapur,2026-06-27,2000,1500,2500
